,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
2287,Pocket City,Build your own city as mayor‪!‬,Codebrew Games Inc.,#40 in Simulation,9+,4.7,Free,4.6K Ratings,Offers In-App Purchases,67.3 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
2288,Barber Chop,Inclusive Hair Designs,"Lajeune and Associates, LLC",#16 in Family,4+,4.2,$2.99,6.6K Ratings,,630.8 MB,,,,,,
2289,Last Fortress: Underground,Zombie alert! Go underground‪!‬,LIFE IS A GAME LIMITED,#22 in Strategy,12+,4.6,$9.99,43.5K Ratings,Offers In-App Purchases,1.5 GB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Horror/Fear Themes,,,
2290,Surgeon Simulator,,Bossa Studios Ltd,#43 in Role Playing,12+,3.9,Free,994 Ratings,Offers In-App Purchases,514.9 MB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Profanity or Crude Humor,Frequent/Intense Cartoon or Fantasy Violence,,,
2291,Coffee Inc 2,Business Tycoon Game,Side Labs LLC,#11 in Role Playing,12+,4.7,$7.99,922 Ratings,Offers In-App Purchases,372.9 MB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Simulated Gambling,,,,
2292,Terraria,Dig! Fight! Explore! Build‪!‬,"505 Games (US), Inc.",#3 in Adventure,9+,4.5,$1.99,44.9K Ratings,Offers In-App Purchases,256 MB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Cartoon or Fantasy Violence,,,
2293,RollerCoaster Tycoon® 3,,Frontier Developments Limited,#64 in Strategy,4+,3.9,Free,1.5K Ratings,Offers In-App Purchases,704.6 MB,,,,,,
2294,Spotlight: Choose Your Romance,Choose your own path,"Crazy Maple Studio, Inc.",#12 in Role Playing,12+,4.5,Free,9.6K Ratings,Offers In-App Purchases,323.5 MB,Infrequent/Mild Sexual Content and Nudity,,,,,
2295,My Child Lebensborn,Narrative nurture history sim,Sarepta Studio AS,#6 in Role Playing,12+,4.8,Free,2.9K Ratings,Offers In-App Purchases,1.1 GB,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Horror/Fear Themes,,,
2296,My Time at Portia,"Craft, Explore and Build‪!‬",Nuverse (Hong Kong) Limited,#55 in Role Playing,9+,3.8,$1.99,349 Ratings,Offers In-App Purchases,1.7 GB,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Mature/Suggestive Themes,,,,
